Name,County,Chief,Phone,Fax
"Big Bend Volunteer Fire Department, Inc.",Osage,Joe Hightower,918-738-4364,999-999-9999
Big Cabin Fire Department,Craig,Glenn Parman,918-346-0875,999-999-9999
Big Cedar Community Association,Le Flore,Darrell Davis,918-651-3414,999-999-9999
Billings Fire Department,Noble,Lee Wagoner,580-725-3571,999-999-9999
Binger Volunteer Fire Department,Caddo,Bobby Warren,405-656-2426,405-656-2404
Bixby Fire Department,Tulsa,Steve Able,918-366-3203,999-999-9999
Black Dog Fire Association,Tulsa,Paul Reeves,918-425-3200,999-999-9999
Blackburn Rural Fire Department,Pawnee,Brian Donnelly,918-538-2390,999-999-9999
Blackgum Mountain Civil Defense and Vol Fire Dept,Sequoyah,Troy Pack,918-773-8619,999-999-9999
Blackland Fire Corportation,Osage,Danny Carpenter,918-287-3715,999-999-9999
Blackwell Fire Department,Kay,Dirk Seabridge,580-363-5490,580-363-7217
Blair Fire Department,Jackson,Dennis Davis,580-563-2406,999-999-9999
Blanchard Volunteer Fire Department,McClain,Sid Rieger,405-485-3939,999-999-9999
Blanco Fire Department,Pittsburg,William Johnson,580-432-5961,999-999-9999
Blue Volunteer Fire Association,Pittsburg,Ryan Dalley,918-669-7237,999-999-9999
Bluejacket Vol Fire Department,Craig,Sonny Winfrey,918-784-2243,999-999-9999
Bluestem Girl Scout Council,Osage,Wade Duboy,918-336-0905,999-999-9999
"Bluff Fire Department, Inc.",Choctaw,Robert Handleman,580-345-2717,999-999-9999
Boise City Volunteer Fire Department,Cimarron,Tim Baird,580-544-3340,999-999-9999
Bokchito Fire Department,Bryan,Melissa Scott,580-295-3775,999-999-9999
Bokoshe Volunteer Fire Department Association,Le Flore,John Hopson,918-969-2393,999-999-9999
Boley Fire Department,Okfuskee,Archille Gunn,405-650-8374,999-999-9999
Boswell Fire Department,Choctaw,Kevin Springfield,580-566-2211,999-999-9999
"Boulanger Rural Fire Department, Inc.",Osage,Joe Kirchner,918-349-2252,999-999-9999
Bowlegs Volunteer Fire Department,Seminole,Charles Presley,405-398-3145,405-398-3145
Bowlin Springs Fire Protection Association,Craig,Charles Bowlin,918-256-3062,999-999-9999
Boynton Fire Department,Muskogee,Scott McClain,918-260-7857,999-999-9999
Bradley Fire Department,Grady,David Smith,405-462-7472,999-999-9999
Braggs Volunteer Fire Department,Muskogee,George Chandler,918-487-5952,999-999-9999
Braman Fire Department,Kay,Carl Tanner,580-385-2477,999-999-9999
Bray Volunteer Fire Department,Stephens,Bennie Whayley,580-658-3978,999-999-9999
Breckenridge (Town of) Fire Department,Garfield,Darrin Nickel,580-446-5554,999-999-9999
"Brent Rural Fire District, Inc.",Sequoyah,Darrell Vix,918-775-5757,999-999-9999
Bridge Creek Fire Protection District,Grady,Raymond Howell,405-550-0660,999-999-9999
Bristow Fire Department,Creek,Gary Brooks,918-367-3415,999-999-9999
Bristow Point Volunteer Firefighters Association,Pittsburg,Gary Brooks,918-823-4562,999-999-9999
Broken Arrow Fire Department,Tulsa,Dennis McIntyre,918-259-8397,999-999-9999
Broken Bow Fire Department,McCurtain,Roger Ross,580-584-3400,999-999-9999
Bromide Fire Department,Johnston,Floyd Ross,580-638-2454,999-999-9999
Brooken Volunteer Fire Department,Haskell,Frank DeShazo,918-799-5228,999-999-9999
Brooksville Volunteer Fire Department Corporation,Pottawatomie,Charles Carthen,405-598-6175,999-999-9999
Broxton Fire Department Company Association,Caddo,Steve Evans,405-643-2023,999-999-9999
Brushy Mountain Vol Fire Department,Muskogee,Steve Lowrimore,918-682-4445,999-999-9999
Brushy Mtn/Sequoyah Co Fire Dept,Sequoyah,Bobby Caughman,918-315-1598,999-999-9999
"Buckcreek Rural Fire Department, Inc.",Osage,Clinton Thompson,918-566-2260,999-999-9999
"Buckhorn Vol Fire Department, Inc.",Muskogee,Clayton Webb,918-989-5581,999-999-9999
Buffalo Valley Vol Fire Department,Latimer,Larry Kennedy,918-522-4459,999-999-9999
Buffalo Volunteer Fire Department,Harper,Gaylon Love,580-735-2521,999-999-9999
"Bugtussle Volunteer Fire Department, Inc.",Pittsburg,Bryan Fuller,918-429-6116,999-999-9999
Buncombe Creek Volunteer Fire Department,Marshall,Jeff Vitte,580-564-4211,999-999-9999
Burbank Rural Firefighters Incorporated,Osage,Dave Jacques,918-648-5256,999-999-9999
Burbank Volunteer Fire Department,Osage,Les Kennedy,918-648-5375,999-999-9999
Burlington Fire Department,Alfalfa,Robert Hyde,580-431-2550,999-999-9999
Burns Flat/Clinton Sherman Volunteer Fire Departme,Washita,Thomas Gillham,580-562-3144,999-999-9999
Butler Fire Department,Custer,Scott Powell,580-515-5869,999-999-9999
Butler Volunteer Fire Department Inc,Delaware,Randy Prins,918-787-5555,999-999-9999
Byars Fire Department,McClain,Dwight McCullar,405-783-4449,999-999-9999
Byng Fire Department,Pontotoc,Chris McGill,580-436-2545,999-999-9999
Cabin Creek Fire District,Mayes,Jason Miller,918-782-1039,999-999-9999
Cache Volunteer Fire Department,Comanche,Dale Winham,580-353-3947,999-999-9999
Caddo County Civil Defense,Caddo,Lester Rudisill,405-247-3871,999-999-9999
Caddo Fire District,Bryan,Todd Miller,580-367-2258,999-999-9999
Caddo Indian Tribe of Oklahoma,Caddo,Bill Ware,405-656-2559,999-999-9999
Cairo Vol Fire Department Association,Coal,Rodger Wilson,580-927-5329,999-999-9999
Calera Fire-Rescue,Bryan,Kevin Carlton,33.907704,580434-5310
Calumet Rural Fire Protection,Canadian,Randy Mead,405-203-4859,999-999-9999
Calvin Volunteer Fire Department,Hughes,Russell,405-645-2356,405-645-2405
Camargo Fire Department,Dewey,Roger Robinson,580-216-0029,999-999-9999
Canadian Shores Volunteer Fire Department,Pittsburg,Donald Cathey JR.,918-823-4444,918-8234645
Canadian Valley/Cedar Lake Inc,Canadian,Dave Stagner,405-202-4308,999-999-9999
Canadian Vol Fire Department,Pittsburg,Vess Neill,918-339-2772,999-999-9999
Caney Fire Department,Atoka,Mike Harkey,580-889-9785,999-999-9999
Cannibalized,McClain,Jim Pitts,405-288-2385,999-999-9999
Canton Volunteer Fire Department,Blaine,Charles Gilchrist,580-886-2540,999-999-9999
Canute Fire Department,Washita,Jeremy Warnke,580-472-3111,999-999-9999
Capron Fire Department,Woods,Luke Gagnon,580-829-1101,999-999-9999
Cardinal Cove Volunteer Fire Department,Marshall,Dean Wise,580-564-4310,999-999-9999
Carmen Fire Department,Alfalfa,Bud Jackson,580-987-2479,999-999-9999
Carnegie Fire Department,Caddo,P.K. Hurt,580-654-2251,999-999-9999
Carney Fire Department,Lincoln,Greg Wilson,405-865-2380,999-999-9999
Carselowey Community Volunteer Fire Department,Craig,Ronnie Powell,918-782-3878,999-999-9999
Carter Volunteer Fire Department,Beckham,Joe Gordon,580-799-0152,999-999-9999
"Cartwright Volunteer Fire Department, Inc.",Bryan,Jeff Christman,580-965-4477,999-999-9999
Cashion Fire Department,Kingfisher,John Davis,405-433-2058,999-999-9999
Catesby Firefighters Association,Ellis,Justin Hiner,580-938-1566,999-999-9999
Catoosa (City of) Fire Department,Rogers,Denus Benton,918-266-2505,999-999-9999
Cedar Blue Volunteer Fire Protection,Murray,David Kinman,405-488-7089,999-999-9999
Cedar Country Vol Fire Dept Assoc,Cleveland,Roger Wickey,405-517-1053,999-999-9999
Cedar Country vol Fire Dept Assoc,Cleveland,Harlen Fipps,405-899-4122,405-899-6255
Cedar Lake VFD,Canadian,Judy Soos,405-250-6689,405-721-0753
Cement Volunteer Fire Department,Caddo,Steve Miller,405-489-3814,999-999-9999
Center Vol Fire Department Inc,Pontotoc,Shawn Horton,580-421-8188,999-999-9999
Centrahoma Fire District,Coal,Mark Chamberlin,580-845-2664,999-999-9999
Central High Vol Fire Department,Sequoyah,Barry Orendorff,918-775-0169,999-999-9999
Central High Vol Firefighters Assoc,Stephens,Dan Eberhart,580-255-1663,999-999-9999
Centralia Volunteer Fire Company,Craig,Shawn Christan,918-256-7571,999-999-9999
Chance Volunteer Fire Department,Adair,Joe Bateman,918-930-0701,999-999-9999
Chandler Fire Department,Lincoln,Bobby Johnson,405-258-3217,999-999-9999
Chattanooga Fire Department,Comanche,Jack Nicholson,580-597-3390,999-999-9999
Checotah Vol Fire Department,McIntosh,Ike Webster,918-473-5411,999-999-9999
Chelsea Fire Department,Rogers,Matthew Fraley,918-855-4193,999-999-9999
Cherokee County Civil Defense,Cherokee,Gary Dotson,918-456-2424,999-999-9999
Cherokee Fire Department,Alfalfa,Kevin Lingemann,580-596-2413,999-999-9999
Cherokee Landing State Park,Cherokee,Randy Folks,918-457-5716,999-999-9999
Cheyenne Fire Department,Roger Mills,Wes Pratt,580-497-2455,999-999-9999
Chickasha Fire Department,Grady,Michael Brice,405-224-5474,999-999-9999
Chicken Creek Fire Department,Cherokee,Tom Pope,479-651-2606,999-999-9999
Chimney Rock Fire Department,Mayes,Lewis Cunningham,918-479-5317,999-999-9999
Choctaw Fire Department,Oklahoma,Loren Bumgarner,405-390-8300,999-999-9999
Chouteau Fire Department,Mayes,Ted Key,918-476-5526,999-999-9999
Christie Volunteer Fire Association,Adair,Joe Leak,918-797-0339,999-999-9999
Claremore Fire Department,Rogers,Mark Dowler,918-341-1477,999-999-9999
Claremore/Rogers Civil Defense,Rogers,Bob Anderson,918-341-4233,999-999-9999
Clarita Volunteer Fire Department,Coal,Frank Williams,580-428-3517,999-999-9999
Claypool Volunteer Fire Department,Jefferson,Jerry Smith,580-228-2648,999-999-9999
Clayton Fire Department,Pushmataha,Tony Macon,918-569-4173,999-999-9999
Clear Creek Fire Department Inc,Osage,Tim Drummond,918-287-2061,999-999-9999
Cleo Springs Fire Department,Major,Allen Cox,580-438-2243,999-999-9999
Cleora Community Fire Department,Delaware,James Trask,918-782-3650,999-999-9999
Cleveland Fire Department,Pawnee,Ryan Murray,918-358-3112,918-358-3454
Clinton Fire Department,Custer,Wade Anders,580-323-2298,999-999-9999
Clinton Sherman Fire Department,Washita,Phillip Lile,580-562-3324,999-999-9999
"Cloud Chief Fire Department, Inc",Washita,Nacona Cook,580-515-9359,999-999-9999
Cloudy Volunteer Fire Department,Pushmataha,Mark Baze,580-587-2505,999-999-9999
Coalgate Fire Department,Coal,David Holt,580-927-3913,999-999-9999
COEDD,Pottawatomie,Paul Simpson,405-273-6410,999-999-9999
Cogar Community Fire Dept Assoc,Caddo,Jarrett McRee,405-352-4484,999-999-9999
Colbert Fire Department,Bryan,Wade Jackson,580-296-2560,999-999-9999
Colcord Fire Department,Delaware,Kyle Nichols,479-736-9947,999-999-9999
Cole Volunteer Fire Department,McClain,Rodney Edwards,405-625-7676,999-999-9999
Coleman Fire Department,Johnston,Fred Raines,580-937-4648,999-999-9999
Collinsville City Fire Department,Tulsa,Russell Young,918-371-1020,999-999-9999
Collinsville Rural Fire Department,Tulsa,Jimmy Wilson,918-371-4854,918-371-4854
Colony Fire Department,Washita,Brandon Smith,405-929-7320,999-999-9999
Comanche County Civil Defense,Comanche,Clinton Wagstaff,580-355-0535,999-999-9999
Comanche Fire Department,Comanche,David Coder,580-439-2211,999-999-9999
Commerce Vol Fire Department,Ottawa,Jeff McDonald,918-675-4372,999-999-9999
Con-8 Volunteer Fire Department,Kiowa,Brad Webb,580-318-1114,999-999-9999
Connerville Fire Department,Johnston,Bruce Woods,580-836-7881,999-999-9999
Cookson School Fire Department,Adair,Tim Knight,918-207-7400,999-999-9999
Cookson Volunteer Fire Department,Cherokee,Tim Knight,918-207-7600,999-999-9999
Cooperton Vol Fire Department,Kiowa,J. Todd Buchanan,580-318-3305,999-999-9999
Copan Fire Department,Washington,Buck Lemmons,918-532-5571,999-999-9999
Cordell Fire Department,Washita,Seth Slaughterback,580-832-3449,580-832-3449
Corn Fire Department,Washita,Randy Epp,580-343-2333,999-999-9999
Corum Volunteer Fire Department,Cotton,Ron Gather,580-656-6892,999-999-9999
Council Hill Fire Department,Muskogee,Jarrod Zigler,918-855-9279,999-999-9999
Country Corner Fire Company,Osage,Jim Massey,918-288-2205,999-999-9999
Courtney Community Vol Fire Dep.,Love,Dewayne McCarty,580-276-4752,999-999-9999
Cove Acres Vol Fire Department,Comanche,Matt Eccles,580-704-6478,866-402-7804
Covington Fire Department,Garfield,Terry Reinhardt,580-864-7828,999-999-9999
Coweta Fire Department,Wagoner,Craig Hinton,918-486-5610,999-999-9999
Cowlington Vol Fire Department,Le Flore,Mike Alexander,918-774-7758,999-999-9999
Cowskin Rural Fire District,Delaware,Monty Hackler,918-786-8207,999-999-9999
Cox City Volunteer Fire Department,Grady,Boyd Pendley,405-222-2339,999-999-9999
Cox's Store Vol Fire Department,Comanche,Al Dreves,580-355-5957,999-999-9999
Coyle Fire Department,Logan,Mike Galbraith,405-246-8053,999-999-9999
Craig County Fire Service,Craig,Roy Bible,918-256-5487,999-999-9999
Cravens Volunteer Fire Department,Latimer,Norman Hughes,918-465-2831,999-999-9999
Crescent Fire Department,Logan,Raymond Farrar,405-969-3070,999-999-9999
Criner Hills Vol Fire Department,Love,Charles Campbell,580-223-9758,999-999-9999
Cromwell Vol Fire Department,Seminole,Chris Aldridge,405-944-5432,999-999-9999
Crow Roost Rural Vol Fire Department,Caddo,Paul Johnson,405-643-2715,999-999-9999
Crowder Fire Department,Pittsburg,Gary Brooks,918-334-6200,999-999-9999
Crystal Volunteer Fire Department,Atoka,Tim Hyatt,580-889-6853,999-999-9999
Cushing Fire Department,Payne,Brent Kerr,918-225-3361,999-999-9999
Custer City Fire Department,Custer,John Collier,580-593-2326,999-999-9999
Cyril Fire Department,Caddo,Gerard Dodson,580-464-2411,580-464-2205
Dacoma Volunteer Fire Department,Woods,Mark Denton,580-327-7445,999-999-9999
Daisy Volunteer Fire Department,Atoka,Tommy Glover,580-239-2634,999-999-9999
Dale Township Fire District,Kay,Brett Stephens,580-362-2511,999-999-9999
Darwin Volunteer Fire Department,Pushmataha,Dean Stapleton,580-326-6486,999-999-9999
Davenport Vol Fire Department,Lincoln,Richard Bailey,918-377-2977,999-999-9999
Davidson Vol Fire Department,Tillman,Gary Sparks,580-568-2600,999-999-9999
Davis Fire Department,Murray,Robert Bolding Rogers,580-369-1599,999-999-9999
Deep Fork National Wildlife Refuge,Okmulgee,Darin Unruh,918-756-0815,999-999-9999
Deer Creek Fire Department,Oklahoma,Doug McWilliams,405-830-7139,999-999-9999
Deer Creek Vol Fire Department,Grant,Jonathan Harrold,580-267-3228,999-999-9999
Del City Fire Department,Oklahoma,Jim Hock,405-671-2890,405-671-3012
Delaware County Civil Defense,Delaware,Robert Real,918-253-8085,999-999-9999
Delaware County Fire Service,Delaware,Kenny Crowder,918-786-9774,999-999-9999
Delaware Fire Department,Nowata,Roger Smith,918-467-3218,999-999-9999
Delhi Rural Fire Department,Beckham,Bandy Silk,580-729-0740,999-999-9999
Denoya Firefighters,Osage,Jim Jacques,918-793-7031,999-999-9999
Department of Environmental Quality,Oklahoma,Diana Hinson,000-000-0000,405-702-4101
Depew Volunteer Fire Department,Creek,Jason Cooper,918-324-5251,999-999-9999
Devol Volunteer Fire Department,Cotton,Bryan W. Harrison,580-281-0113,999-999-9999
Dewar Fire Department,Okmulgee,George Powell,918-652-4042,999-999-9999
Dewey Fire Department,Washington,Tom Smith,918-534-2272,999-999-9999
Diamond Head-Lone Chapel Fire Dept,Mayes,Frank Kotoff,918-785-2556,999-999-9999
Dibble Volunteer Fire Department,McClain,Ronnie Poe,405-344-9330,405-344-9330
Dickson Fire Department,Carter,Troy Duke,580-226-1276,999-999-9999
Dill City Fire Department,Washita,Mitchell Harbuck,580-674-3376,999-999-9999
Dillard Community Rural Fire Dept,Carter,Richard Delano,580-220-2644,999-999-9999
Disney Fire Department,Mayes,Tony Vancleave,918-937-2218,999-999-9999
Dougherty Fire Department,Murray,John Hale,580-993-2213,999-999-9999
Douglas Volunteer Fire Department,Garfield,Mike Belcher,580-862-7702,999-999-9999
Dover Fire Department,Kingfisher,Bobby Gardner,405-828-7283,999-999-9999
Doyle Vol Fire Department Association,Stephens,Judd Newby,580-432-5400,999-999-9999
Drum Creek Vol Fire Department Inc,Osage,J Berry Harrison,580-765-6922,999-999-9999
Drummond Fire Department,Garfield,Danny Vasquez,580-493-2486,999-999-9999
Drumright Fire Department,Creek,Brett M. Lunsford,918-352-2251,918-352-9496
Duke Volunteer Fire Department,Jackson,Drew Darby,580-679-3543,580-679-3543
Duncan Fire Department,Stephens,Larry Sullins,580-252-0250,999-999-9999
Durant Fire Department,Bryan,Steve Dow,580-924-2358,999-999-9999
Dustin Fire Department,Hughes,Tony Brown,918-656-3527,999-999-9999
Eagle City Fire District,Blaine,Mathew Thompson,580-819-1419,999-999-9999
Eagletown Volunteer Fire Department,McCurtain,Mark Hannah,580-835-2550,999-999-9999
Eakly Fire Department,Caddo,Mike King,405-797-3605,999-999-9999
Earlsboro Fire Department,Pottawatomie,Shad Rawls,405-997-5560,999-999-9999
East Central Area,Latimer,Chris Parrington,918-465-2082,999-999-9999
Eastman Community Vol Fire Dept,Love,Charles Willis,580-276-2855,999-999-9999
Eastside Fire Department,Love,Wayne Cochran,580-238-8246,999-999-9999
Edgewater Park Fire Department,Comanche,Herman Fehring,580-588-2549,999-999-9999
Edmond Fire Department,Oklahoma,Jake Rhoades,405-216-7304,405-216-7301
El Reno Fire Department,Canadian,Kent Lagaly,405-262-2949,999-999-9999
Eldorado Fire Department,Jackson,Kevin Hill,580-471-8038,5806332773
Elgin Volunteer Fire Department,Comanche,Mike Baker,580-512-7014,999-999-9999
Elk City Fire Department,Beckham,Rick Shelton,580-225-0500,999-999-9999
Elm Creek Rural Fire Company,Osage,Lee Briggs,918-722-4241,999-999-9999
Elm Point Fire Department,Pittsburg,Dale Mason,918-423-0549,999-999-9999
Elmer Rural Vol Fire Association,Jackson,Ken Butler,580-687-4359,999-999-9999
Elmore City Vol Fire Department,Garvin,Eddie Stewart,580-788-4419,999-999-9999
Elmwood Firefighters Incorporated,Beaver,Troy Hoover,580-658-2202,999-999-9999
Empire City Fire Department,Stephens,Ricky Hyde,580-251-5597,999-999-9999
Enos Fire District,Marshall,William Macon,580-564-2879,999-999-9999
Enville Fire Department,Love,Terry Birks,580-276-4030,999-999-9999
EODD,Wagoner,Ernie Moore,918-682-7891,999-999-9999
Erick Fire Department,Beckham,Pat West,580-526-3924,999-999-9999
Eucha Volunteer Firefighters,Delaware,John Campbell,918-253-6685,999-999-9999
Eufaula Volunteer Fire Department,McIntosh,Mark Gideon,918-689-2534,999-999-9999
FAIC Fire Department,McIntosh,Carolyn Bowen,918-490-0248,999-999-9999
Fairfax Volunteer Fire Department,Osage,Todd Kelly,918-638-6419,999-999-9999
Fairland Fire Department,Ottawa,Bill Lunsford,918-676-3612,999-999-9999
Fairmont Volunteer Fire Department,Garfield,Michael Burwell,580-358-2229,999-999-9999
Fairview Fire Department,Major,Gregory Harmon,580-227-4444,999-999-9999
Falconhead Vol Fire Department,Love,Kevin Frazier,580-276-3157,999-999-9999
Fallis Fire Department,Lincoln,Sandy Hooker,405-356-0055,999-999-9999
Fanshawe Fire Department,Le Flore,Rusty Herren,918-659-2300,999-999-9999
Fargo Fire Department,Ellis,Mickey Thomas,580-698-2434,999-999-9999
Farris Volunteer Fire Department,Atoka,Stacy Butler,580-889-0687,999-999-9999
Farwell Station of Grady County,Grady,Justin Wenzel,405-222-2339,999-999-9999
Felt Fire Department,Cimarron,Daryl McDaniel,580-426-2256,999-999-9999
Finley Fire Department,Pushmataha,Joe Young,580-298-5460,999-999-9999
First Come,McClain,Jim Pitts,405-288-2385,999-999-9999
Fittstown Fire District,Pontotoc,Randall Phillips,580-777-2202,999-999-9999
Fitzhugh Fire Department,Pontotoc,Justin Roberts,580-332-8233,999-999-9999
Flat Rock Vol Fire Association,Wagoner,Greg Bradshaw,918-373-0321,999-999-9999
Fletcher Volunteer Fire Department,Comanche,Stanley Miller,580-510-2200,999-999-9999
Flint Ridge Vol Fire Department,Delaware,Glenn Reid,918-597-2364,999-999-9999
Flower Mound Vol Fire Department Inc,Comanche,Josh Sullivan,580-355-8523,999-999-9999
Fly Inn Resort II,Caddo,Carrol Reddick,580-637-2218,999-999-9999
Foraker Volunteer Fire Department,Osage,James Caldren,918-433-4261,999-999-9999
Forest Park Fire Department,Oklahoma,Chuck Blair,405-823-2728,999-999-9999
Forgan Fire Department,Beaver,Eldon Eagan,580-487-3565,999-999-9999
Fort Cobb Fire Department,Caddo,Ted Clift,405-643-2125,999-999-9999
Fort Coffee Volunteer Fire Department,Le Flore,Michael Walker,918-962-4242,999-999-9999
Fort Gibson Fire Department,Muskogee,Larry Cooper,918-478-4221,999-999-9999
Fort Supply Fire Department,Woodward,Michael Pettey,580-216-1685,999-999-9999
Fort Towson Fire Department,Choctaw,Athelta Hopkins,580-873-9294,999-999-9999
Foss Fire Department,Washita,Darren Murray,580-821-2907,999-999-9999
Fox Graham Vol Fire Department,Carter,Rudy Stewart,580-673-2029,999-999-9999
Foyil Fire Protection District,Rogers,Randy Atchley,918-789-3372,999-999-9999
Francis Fire Department,Pontotoc,Derrell Phillips,580-332-6295,999-999-9999
Frankfort Rural Fire Company,Osage,Francis Murphy,918-433-2251,999-999-9999
Frederick Fire Department,Tillman,Tracy Newman,580-335-2172,580-335-2173
Freedom Fire Department,Woods,Kevin Wares,580-621-3592,999-999-9999
Freedom Hill Fire Department,Creek,Kevin Smythe,918-352-3971,999-999-9999
Freeny Valley Firefighters Association,Bryan,DON SINGLETON,580-775-4499,999-999-9999
Friend Fire Company,Grady,Richard Van Dyck,405-222-2339,999-999-9999
